name,yahoo_ticker,isin,country,exchange,sector,enabled
ASTA Energy Solutions AG,1AST.VI,,AT,VIE,,true
Steyr Motors AG,4X0.VI,AT0000A3FW25,AT,VIE,,true
Amadeus Fire AG,AAD.VI,DE0005093108,AT,VIE,,true
Anheuser-Busch InBev SA/NV,ABIN.VI,BE0974293251,AT,VIE,,true
ACS Actividades de Construcción y Servicios S.A.,ACS.VI,,AT,VIE,,true
Addiko Bank AG,ADKO.VI,AT000ADDIKO0,AT,VIE,,true
AGRANA Beteiligungs-Aktiengesellschaft,AGR.VI,AT000AGRANA3,AT,VIE,,true
AMAG Austria Metall AG,AMAG.VI,AT00000AMAG3,AT,VIE,,true
AMS OSRAM AG,AMS2.VI,,AT,VIE,,true
Andritz AG,ANDR.VI,AT0000730007,AT,VIE,,true
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS.VI,AT0000969985,AT,VIE,,true
BAWAG Group AG,BG.VI,AT0000BAWAG2,AT,VIE,,true
Burgenland Holding Aktiengesellschaft,BHD.VI,AT0000640552,AT,VIE,,true
Biogena Group Invest AG,BIO.VI,ATBIOGENA005,AT,VIE,,true
BKS Bank AG,BKS.VI,AT0000624705,AT,VIE,,true
Bajaj Mobility AG,BMAG.VI,AT0000KTMI02,AT,VIE,,true
CA Immobilien Anlagen AG,CAI.VI,AT0000641352,AT,VIE,,true
CNH Industrial N.V.,CNHI.VI,NL0010545661,AT,VIE,,true
CPI Europe AG,CPI.VI,AT0000A21KS2,AT,VIE,,true
DO & CO Aktiengesellschaft,DOC.VI,AT0000818802,AT,VIE,,true
Erste Group Bank AG,EBS.VI,AT0000652011,AT,VIE,,true
Enry S Island Spa Sb,EIOS.VI,IT0005504458,AT,VIE,,true
The Estée Lauder Companies Inc.,ESLA.VI,,AT,VIE,,true
EuroTeleSites AG,ETS.VI,AT000000ETS9,AT,VIE,,true
EVN AG,EVN.VI,AT0000741053,AT,VIE,,true
Exor N.V.,EXO.VI,NL0012059018,AT,VIE,,true
Fabasoft AG,FAA.VI,,AT,VIE,,true
Facc AG,FACC.VI,AT00000FACC2,AT,VIE,,true
La FranÃ§aise des Jeux SociÃ©tÃ© anonyme,FDJ.VI,,AT,VIE,,true
Frauenthal Holding AG,FKA.VI,AT0000762406,AT,VIE,,true
Flughafen Wien Aktiengesellschaft,FLU.VI,AT00000VIE62,AT,VIE,,true
Fuchs Petrolub SE,FPE4.VI,,AT,VIE,,true
Frequentis AG,FQT.VI,ATFREQUENT09,AT,VIE,,true
Gurktaler AG ST,GAGS.VI,AT0000A0Z9G3,AT,VIE,,true
Gurktaler Aktiengesellschaft,GAGV.VI,AT0000A0Z9H1,AT,VIE,,true
Maschinenfabrik HEID AG,HED.VI,AT0000690151,AT,VIE,,true
Hui Srl,HUI.VI,IT0005618423,AT,VIE,,true
JD.com Inc.,JD.VI,,AT,VIE,,true
Kapsch Traffic,KTCG.VI,AT000KAPSCH9,AT,VIE,,true
Kontron AG,KTN.VI,AT0000A0E9W5,AT,VIE,,true
Lenzing Aktiengesellschaft,LNZ.VI,AT0000644505,AT,VIE,,true
Linz Textil Holding AG,LTH.VI,AT0000723606,AT,VIE,,true
Josef Manner & Comp. AG,MAN.VI,AT0000728209,AT,VIE,,true
Marinomed Biotech AG,MARI.VI,ATMARINOMED6,AT,VIE,,true
Mayr-Melnhof Karton AG,MMK.VI,AT0000938204,AT,VIE,,true
Merck & Company Inc,MRK.VI,US58933Y1055,AT,VIE,,true
Nova Ljubljanska Banka d.d.,NLBR.VI,,AT,VIE,,true
Nokian Renkaat Oyj,NRE1.VI,,AT,VIE,,true
Oberbank AG,OBS.VI,AT0000625108,AT,VIE,,true
OMV Aktiengesellschaft,OMV.VI,AT0000743059,AT,VIE,,true
Patrizia AG,P1Z.VI,,AT,VIE,,true
Palfinger AG,PAL.VI,AT0000758305,AT,VIE,,true
Planisware SAS,PLNW.VI,FR001400PFU4,AT,VIE,,true
PORR AG,POS.VI,AT0000609607,AT,VIE,,true
Oesterr. Post AG,POST.VI,AT0000APOST4,AT,VIE,,true
Polytec Holding AG,PYT.VI,AT0000A00XX9,AT,VIE,,true
RATH Aktiengesellschaft,RAT.VI,AT0000767306,AT,VIE,,true
Raiffeisen Bank International AG,RBI.VI,AT0000606306,AT,VIE,,true
